               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11333,            0.023355,            0.027362,             0.57152,             0.11647,            0.040563,           0.0073129,             0.10091,            0.018856,            0.010595,            0.003285,            0.003285,            0.070435
                   1,            0.091605,            0.016114,            0.010215,             0.10257,             0.35854,             0.09087,            0.021939,            0.078706,            0.016017,           0.0061725,           0.0065965,           0.0065965,            0.040413
                   2,            0.081591,            0.015127,           0.0074536,             0.11939,             0.32377,            0.069031,            0.012085,            0.079815,            0.018007,           0.0047196,            0.009886,            0.009886,            0.010369
                   3,            0.077855,            0.015017,           0.0065117,             0.36873,             0.37777,             0.23239,            0.067748,            0.064046,            0.017536,           0.0043204,            0.009901,            0.009901,            0.009901
                   4,            0.069695,            0.016122,           0.0053034,             0.28034,             0.36948,             0.20299,            0.053105,            0.059706,            0.016105,           0.0044102,            0.009901,            0.009901,            0.009901
                   5,            0.061577,             0.01465,           0.0043559,             0.27413,             0.33916,             0.19367,            0.046662,            0.064558,            0.014055,           0.0032128,            0.009868,            0.009868,            0.009868
                   6,            0.060351,            0.014372,           0.0040497,             0.43629,             0.48073,             0.32483,             0.10306,            0.055384,            0.014721,           0.0033639,            0.009835,            0.009835,            0.009835
                   7,            0.057172,               0.014,           0.0041463,             0.38686,             0.52295,             0.31294,             0.11513,            0.047587,            0.014749,           0.0029436,            0.009802,            0.009802,            0.009802
                   8,            0.054361,            0.013994,            0.003585,             0.44093,             0.48786,              0.3213,             0.11606,            0.046706,            0.014817,           0.0032248,            0.009769,            0.009769,            0.009769
                   9,             0.05357,            0.013716,           0.0034883,             0.40154,             0.48491,             0.29194,            0.092153,            0.057947,            0.013514,            0.002867,            0.009736,            0.009736,            0.009736
